id;eltamont;eltaval;extremite_amont;extremite_aval;lgmvtaval;vit_reg;geometry
T_1066820000_FRef_F;R_610416174;C_610416173;846416.497300 6522623.140200;846153.279895 6522628.269487;281,409;19,44;LINESTRING (846416.4973 6522623.1402, 846153.279895 6522628.269487)
T_1066820002_FRef_F_F;C_1057590092;C_545418705;845949.406400 6522570.612000;845047.724287 6522293.618825;963,1925;19,44;LINESTRING (845949.4064 6522570.612, 845047.724287 6522293.618825)
T_1066820004_FRef;C_850481049;C_1057590092;845474.781357 6522397.531990;845949.973159 6522559.440453;537,745;19,44;LINESTRING (845474.781357 6522397.53199, 845949.973159 6522559.440453)
T_1066820020_FRef_F;R_82647760;R_965999353;844994.576244 6521675.910848;844909.683185 6521685.007219;85,38;8,33;LINESTRING (844994.576244 6521675.910848, 844909.683185 6521685.007219)
T_1066820021_toRef_F;R_965999353;R_82647760;844908.974815 6521679.049181;844993.952556 6521669.943352;85,466;8,33;LINESTRING (844908.974815 6521679.049181, 844993.952556 6521669.943352)
T_1066826566_FRef;R_1057594425;R_82649640;846259.561391 6523075.650730;845629.985211 6523248.056346;703,3736666666667;25,0;LINESTRING (846259.561391 6523075.65073, 845629.985211 6523248.056346)
T_1066826569_FRef;R_543460740;R_10;845634.989068 6523235.774151;846473.314935 6522812.888648;1027,5853333333332;25,0;LINESTRING (845634.989068 6523235.774151, 846473.314935 6522812.888648)
T_1070282414_FRef;C_82611991;R_1059777019;844476.364664 6520220.497347;844473.580292 6520278.859164;58,428;13,89;LINESTRING (844476.364664 6520220.497347, 844473.580292 6520278.859164)
T_1070282414_toRef;R_1059777019;C_82611991;844467.587108 6520278.573236;844470.351075 6520220.639132;67,775;13,89;LINESTRING (844467.587108 6520278.573236, 844470.351075 6520220.639132)
T_1070337922_FRef;C_82607864;C_82607866;843909.029376 6519915.426263;843959.025625 6519914.813839;75,64266666666667;13,89;LINESTRING (843909.029376 6519915.426263, 843959.025625 6519914.813839)
T_1070357641_FRef;753612596;R_82611906;844227.787900 6520189.692700;844209.638300 6520300.347600;112,133;13,89;LINESTRING (844227.7879 6520189.6927, 844209.6383 6520300.3476)
T_1070357642_FRef;R_82611870;753612596;844234.975600 6520115.437100;844228.205500 6520171.929500;86,529;13,89;LINESTRING (844234.9756 6520115.4371, 844228.2055 6520171.9295)
T_1070357643_FRef;R_1059819047;753612596;844254.232200 6520189.203600;844235.662400 6520185.434600;29,818;13,89;LINESTRING (844254.2322 6520189.2036, 844235.6624 6520185.4346)
T_1070357644_FRef;C_82611886;R_1059819047;844303.434787 6520198.097721;844254.232200 6520189.203600;50,0;13,89;LINESTRING (844303.434787 6520198.097721, 844254.2322 6520189.2036)
T_1070357645_FRef;753612596;R_1059819048;844232.476100 6520188.692100;844243.093100 6520200.049900;15,547;13,89;LINESTRING (844232.4761 6520188.6921, 844243.0931 6520200.0499)
T_1070357646_FRef;R_1059819048;C_82611914;844243.093100 6520200.049900;844293.756850 6520256.699564;131,336;13,89;LINESTRING (844243.0931 6520200.0499, 844293.75685 6520256.699564)
T_1070357647_FRef;R_1059819047;R_1059819048;844254.232200 6520189.203600;844243.093100 6520200.049900;16,814;13,89;LINESTRING (844254.2322 6520189.2036, 844243.0931 6520200.0499)
T_1073440882_FRef;E_954080000;R_82647626;844468.378704 6522608.426942;844659.977785 6522609.889530;191,6045;13,89;LINESTRING (844468.378704 6522608.426942, 844659.977785 6522609.88953)
T_1074740233_FRef;R_545421081;S_1062921279;844513.796100 6519764.315300;844515.697500 6519716.595000;47,758;8,33;LINESTRING (844513.7961 6519764.3153, 844515.6975 6519716.595)
T_1078383176_FRef;R_18;S_805337332;843911.812345 6519756.978767;843914.788444 6519730.372423;26,772333333333332;13,89;LINESTRING (843911.812345 6519756.978767, 843914.788444 6519730.372423)
T_1078383177_FRef;R_1035659569;R_1065454927;843898.847378 6519863.057037;843905.298189 6519811.899696;51,562333333333335;13,89;LINESTRING (843898.847378 6519863.057037, 843905.298189 6519811.899696)
T_1078383178_FRef;R_19;C_82607850;843932.450633 6519753.861430;843921.265459 6519809.652398;73,94;8,33;LINESTRING (843932.450633 6519753.86143, 843921.265459 6519809.652398)
